,Date,Population,State,Price,Unemployment Rate
0,01/12/05,6718023,NSW,81.8,5.2937566
1,01/12/05,5023203,VIC,64.0,5.2600372
2,01/12/05,3964175,QLD,75.0,4.8636096
3,01/12/05,1544852,SA,71.6,4.8681805
4,01/12/05,2029936,WA,70.0,4.3264112
5,01/12/05,488098,TAS,79.1,5.9625633
6,01/12/05,207385,NT,60.2,6.0045767
7,01/12/05,333505,ACT,71.7,3.4225362
8,01/03/06,6735528,NSW,80.8,4.9787804
9,01/03/06,5048207,VIC,65.4,5.1129317
10,01/03/06,3987653,QLD,75.6,4.7051245
11,01/03/06,1550135,SA,72.2,5.0350001
12,01/03/06,2042450,WA,75.6,3.9880636
13,01/03/06,489140,TAS,81.0,6.608448
14,01/03/06,208347,NT,63.2,5.7653309
15,01/03/06,334299,ACT,72.5,3.2543687
16,01/06/06,6742690,NSW,82.3,5.2884388
17,01/06/06,5061266,VIC,67.2,5.0215261
18,01/06/06,4007992,QLD,77.5,4.5002429
19,01/06/06,1552529,SA,73.4,4.7305127
20,01/06/06,2050581,WA,86.4,3.3512129
21,01/06/06,489302,TAS,83.4,6.669892
22,01/06/06,209057,NT,67.1,4.9422262
23,01/06/06,335170,ACT,74.3,3.0042632
24,01/09/06,6766133,NSW,82.0,5.2007804
25,01/09/06,5083593,VIC,68.1,4.5791411
26,01/09/06,4031580,QLD,78.5,4.5389226
27,01/09/06,1557332,SA,73.8,4.7728774
28,01/09/06,2064032,WA,95.1,3.3529644
29,01/09/06,490354,TAS,84.6,6.6029782
30,01/09/06,210284,NT,67.3,3.7862716
31,01/09/06,336547,ACT,76.0,2.9011747
32,01/12/06,6786160,NSW,82.7,4.8116753
33,01/12/06,5103965,VIC,69.5,5.0034759
34,01/12/06,4055845,QLD,80.5,4.0897355
35,01/12/06,1561300,SA,75.7,5.4678791
36,01/12/06,2076867,WA,98.4,3.3396949
37,01/12/06,491515,TAS,86.1,5.6553841
38,01/12/06,211029,NT,70.5,2.6972654
39,01/12/06,338381,ACT,77.1,3.0131472
40,01/03/07,6815359,NSW,81.9,4.9570252
41,01/03/07,5134074,VIC,71.0,4.8282367
42,01/03/07,4084531,QLD,83.6,3.9685446
43,01/03/07,1567206,SA,77.2,4.8715496
44,01/03/07,2093633,WA,99.0,2.7369735
45,01/03/07,492625,TAS,88.5,5.2802861
46,01/03/07,212372,NT,72.2,3.9498713
47,01/03/07,340544,ACT,78.6,3.0142606
48,01/06/07,6834156,NSW,85.2,4.5740768
49,01/06/07,5153522,VIC,76.0,4.6276918
50,01/06/07,4111018,QLD,89.0,3.5687089
51,01/06/07,1570619,SA,81.9,5.0131035
52,01/06/07,2106139,WA,97.7,3.681227
53,01/06/07,493262,TAS,89.6,5.2770751
54,01/06/07,213748,NT,74.1,4.7796575
55,01/06/07,342644,ACT,82.0,2.8970935
56,01/09/07,6859736,NSW,87.3,4.6551286
57,01/09/07,5178515,VIC,79.5,4.2902575
58,01/09/07,4134958,QLD,93.4,3.7408803
59,01/09/07,1574537,SA,86.9,4.6450093
60,01/09/07,2120776,WA,99.4,3.4664122
61,01/09/07,494547,TAS,92.3,5.0937561
62,01/09/07,215180,NT,76.3,4.8889133
63,01/09/07,343341,ACT,86.3,2.6307377
64,01/12/07,6883852,NSW,89.2,4.6471845
65,01/12/07,5199503,VIC,84.7,4.8624812
66,01/12/07,4159990,QLD,98.1,3.5554434
67,01/12/07,1578489,SA,91.9,4.8994916
68,01/12/07,2135006,WA,100.6,3.3043521
69,01/12/07,495858,TAS,96.0,5.266236
70,01/12/07,216618,NT,78.3,5.0015863
71,01/12/07,344176,ACT,88.6,2.5244427
72,01/03/08,6919907,NSW,88.5,4.3379433
73,01/03/08,5233000,VIC,85.7,4.2475179
74,01/03/08,4191479,QLD,100.6,3.6192829
75,01/03/08,1584408,SA,94.9,4.3942352
76,01/03/08,2155552,WA,99.5,3.1462671
77,01/03/08,497552,TAS,93.9,4.714129
78,01/03/08,217912,NT,77.7,4.2035861
79,01/03/08,346477,ACT,89.3,2.625156
80,01/06/08,6943461,NSW,87.3,4.5651604
81,01/06/08,5256375,VIC,85.5,4.6396301
82,01/06/08,4219505,QLD,101.3,3.7451225
83,01/06/08,1588665,SA,93.8,4.8771285
84,01/06/08,2171700,WA,97.6,3.1342039
85,01/06/08,498568,TAS,95.2,4.0894591
86,01/06/08,219874,NT,78.5,3.0638353
87,01/06/08,348368,ACT,87.7,2.766686
88,01/09/08,6972395,NSW,85.7,4.8824728
89,01/09/08,5286549,VIC,83.0,4.4341489
90,01/09/08,4247991,QLD,97.5,3.7008189
91,01/09/08,1593725,SA,94.1,5.6205045
92,01/09/08,2191582,WA,95.3,2.9058171
93,01/09/08,500062,TAS,93.3,3.9001263
94,01/09/08,221464,NT,81.8,3.1486531
95,01/09/08,349543,ACT,85.2,2.7999481
96,01/12/08,7001782,NSW,84.5,5.2473776
97,01/12/08,5313285,VIC,82.3,4.8336797
98,01/12/08,4275551,QLD,95.8,3.898647
99,01/12/08,1597880,SA,93.6,5.3364276
100,01/12/08,2208928,WA,92.9,3.026866
101,01/12/08,501774,TAS,93.9,4.9660112
102,01/12/08,222526,NT,84.3,3.9764787
103,01/12/08,351101,ACT,84.8,2.5406019
104,01/03/09,7032423,NSW,83.9,6.6907319
105,01/03/09,5347672,VIC,82.5,5.6624134
106,01/03/09,4305605,QLD,96.0,4.8339029
107,01/03/09,1604142,SA,93.2,5.7862525
108,01/03/09,2228317,WA,92.5,4.8394151
109,01/03/09,503431,TAS,93.4,4.407435
110,01/03/09,223922,NT,87.2,3.915251
111,01/03/09,353351,ACT,85.8,2.9731917
112,01/06/09,7053755,NSW,87.5,6.4042515
113,01/06/09,5371934,VIC,86.9,6.1442927
114,01/06/09,4328771,QLD,98.8,5.5549664
115,01/06/09,1608902,SA,95.8,5.5687386
116,01/06/09,2240250,WA,95.1,5.3817285
117,01/06/09,504353,TAS,96.4,4.4387756
118,01/06/09,226027,NT,89.0,3.8551244
119,01/06/09,354785,ACT,88.7,3.5557999
120,01/09/09,7079175,NSW,91.1,5.4768014
121,01/09/09,5398874,VIC,92.5,5.635636
122,01/09/09,4350135,QLD,102.1,6.1576552
123,01/09/09,1614593,SA,97.2,5.5831168
124,01/09/09,2253355,WA,97.6,5.6170659
125,01/09/09,505468,TAS,98.6,5.7607063
126,01/09/09,227255,NT,92.3,3.548405
127,01/09/09,356310,ACT,92.1,3.7121301
128,01/12/09,7101504,NSW,96.0,5.8463525
129,01/12/09,5419249,VIC,98.6,5.4261254
130,01/12/09,4367454,QLD,105.3,5.7461134
131,01/12/09,1618578,SA,101.1,5.2880499
132,01/12/09,2263747,WA,103.5,5.093774
133,01/12/09,506461,TAS,104.2,5.445815
134,01/12/09,227783,NT,98.7,3.487929
135,01/12/09,357859,ACT,97.6,3.7965759
136,01/03/10,7128356,NSW,98.9,5.4910888
137,01/03/10,5445172,VIC,103.3,5.4007665
138,01/03/10,4387801,QLD,106.4,5.512474
139,01/03/10,1624033,SA,102.8,5.4259697
140,01/03/10,2278589,WA,106.5,4.9088553
141,01/03/10,508182,TAS,105.9,5.6180742
142,01/03/10,228600,NT,99.4,3.202486
143,01/03/10,360361,ACT,101.7,3.5402488
144,01/06/10,7144292,NSW,101.4,5.1868993
145,01/06/10,5461101,VIC,106.2,5.5247765
146,01/06/10,4404744,QLD,107.0,5.2500552
147,01/06/10,1627322,SA,104.7,5.4795358
148,01/06/10,2290845,WA,106.6,4.0855757
149,01/06/10,508847,TAS,103.6,6.258165
150,01/06/10,229778,NT,100.9,2.7200386
151,01/06/10,361766,ACT,101.6,3.257533
152,01/09/10,7162726,NSW,101.1,5.0596936
153,01/09/10,5478710,VIC,104.3,5.1884405
154,01/09/10,4421470,QLD,105.3,5.217379
155,01/09/10,1630230,SA,103.9,5.3822381
156,01/09/10,2305415,WA,103.8,4.5037753
157,01/09/10,509481,TAS,103.5,5.2822532
158,01/09/10,230460,NT,101.1,2.8703182
159,01/09/10,362838,ACT,101.6,3.1724078
160,01/12/10,7179891,NSW,101.3,4.5829355
161,01/12/10,5495711,VIC,105.7,4.9150919
162,01/12/10,4436882,QLD,105.0,5.8008504
163,01/12/10,1632482,SA,104.8,5.4918736
164,01/12/10,2319063,WA,103.9,4.3405364
165,01/12/10,510219,TAS,106.6,5.1686788
166,01/12/10,230299,NT,101.9,2.5179423
167,01/12/10,364833,ACT,102.5,3.3462038
168,01/03/11,7204737,NSW,101.0,5.0546484
169,01/03/11,5520378,VIC,104.7,4.3624183
170,01/03/11,4457971,QLD,102.9,5.506659
171,01/03/11,1636759,SA,103.3,5.3578765
172,01/03/11,2337611,WA,103.0,4.1585768
173,01/03/11,511248,TAS,105.9,5.5013807
174,01/03/11,230224,NT,99.5,2.9140774
175,01/03/11,366737,ACT,102.3,3.7155177
176,01/06/11,7218529,NSW,101.4,5.2417154
177,01/06/11,5537817,VIC,103.5,4.6868478
178,01/06/11,4476778,QLD,102.5,5.1757443
179,01/06/11,1639614,SA,101.0,5.0089316
180,01/06/11,2353409,WA,100.2,4.2953263
181,01/06/11,511483,TAS,102.9,5.1971057
182,01/06/11,231292,NT,96.5,3.7966089
183,01/06/11,367985,ACT,101.9,4.1127353
184,01/09/11,7240922,NSW,99.9,5.4708282
185,01/09/11,5560503,VIC,101.3,5.3028148
186,01/09/11,4498204,QLD,99.9,5.1709751
187,01/09/11,1643275,SA,100.4,5.541522
188,01/09/11,2372185,WA,99.1,4.2775699
189,01/09/11,511915,TAS,100.6,4.8063349
190,01/09/11,232514,NT,96.9,4.2312065
191,01/09/11,369397,ACT,98.7,3.8868264
192,01/12/11,7261592,NSW,98.4,5.6030003
193,01/12/11,5582670,VIC,100.0,5.2500095
194,01/12/11,4518605,QLD,100.2,5.178884
195,01/12/11,1646951,SA,100.7,5.2870783
196,01/12/11,2391592,WA,99.4,4.203191
197,01/12/11,511944,TAS,101.9,6.393504
198,01/12/11,232703,NT,98.2,4.6662031
199,01/12/11,371108,ACT,100.9,3.6388535
200,01/03/12,7288180,NSW,100.3,4.7000046
201,01/03/12,5611981,VIC,99.4,5.7772566
202,01/03/12,4545421,QLD,100.0,5.5120018
203,01/03/12,1652270,SA,99.3,5.2472525
204,01/03/12,2416516,WA,100.5,3.9097511
205,01/03/12,512259,TAS,99.4,6.8879612
206,01/03/12,233788,NT,100.8,4.3577364
207,01/03/12,373575,ACT,100.8,3.583104
208,01/06/12,7307183,NSW,101.4,5.1979571
209,01/06/12,5632521,VIC,99.3,5.5737495
210,01/06/12,4568205,QLD,99.9,5.1434381
211,01/06/12,1656035,SA,99.6,6.2388666
212,01/06/12,2437994,WA,101.0,3.5446899
213,01/06/12,512106,TAS,98.2,7.0000201
214,01/06/12,235881,NT,104.1,4.1423848
215,01/06/12,375183,ACT,99.5,3.7388893
216,01/09/12,7330835,NSW,100.9,5.2735379
217,01/09/12,5656652,VIC,98.6,5.590278
218,01/09/12,4590528,QLD,100.8,6.1716812
219,01/09/12,1659335,SA,99.2,5.5972513
220,01/09/12,2460341,WA,102.1,4.0461866
221,01/09/12,512149,TAS,98.1,7.293398
222,01/09/12,237858,NT,105.5,4.0073416
223,01/09/12,376945,ACT,99.5,3.9009805
224,01/12/12,7356850,NSW,103.7,5.0884308
225,01/12/12,5680502,VIC,100.4,5.6848714
226,01/12/12,4608886,QLD,101.7,6.1537876
227,01/12/12,1662197,SA,100.2,5.8348761
228,01/12/12,2479506,WA,105.2,4.2881626
229,01/12/12,512475,TAS,98.4,7.3685749
230,01/12/12,239294,NT,107.8,4.2643766
231,01/12/12,377927,ACT,101.8,4.3521544
232,01/03/13,7386000,NSW,104.7,5.5067178
233,01/03/13,5710847,VIC,100.8,5.6666564
234,01/03/13,4631968,QLD,101.9,5.8779892
235,01/03/13,1667036,SA,99.8,5.9160424
236,01/03/13,2501046,WA,107.5,4.7760151
237,01/03/13,513012,TAS,100.0,7.2709362
238,01/03/13,240861,NT,109.6,5.0568483
239,01/03/13,379988,ACT,100.3,4.4248797
240,01/06/13,7407063,NSW,108.7,5.4448119
241,01/06/13,5733545,VIC,102.7,5.9769202
242,01/06/13,4651359,QLD,103.2,6.2745263
243,01/06/13,1670274,SA,100.9,5.7357148
244,01/06/13,2515387,WA,110.6,4.6922155
245,01/06/13,513067,TAS,100.0,8.6683198
246,01/06/13,242569,NT,111.0,5.6549339
247,01/06/13,380914,ACT,101.0,4.0438189
248,01/09/13,7434451,NSW,112.8,5.5719217
249,01/09/13,5761100,VIC,105.9,5.7776243
250,01/09/13,4670132,QLD,104.5,5.7521746
251,01/09/13,1673991,SA,101.3,5.8585154
252,01/09/13,2527564,WA,110.7,4.5958678
253,01/09/13,513378,TAS,101.0,8.0429507
254,01/09/13,243067,NT,111.3,5.2736244
255,01/09/13,382032,ACT,101.1,3.9879338
256,01/12/13,7459562,NSW,119.0,5.8602577
257,01/12/13,5784777,VIC,109.7,6.2537342
258,01/12/13,4685080,QLD,107.1,6.0849255
259,01/12/13,1676671,SA,104.4,6.8940268
260,01/12/13,2536368,WA,113.9,4.4613852
261,01/12/13,513948,TAS,103.3,7.6884099
262,01/12/13,242840,NT,112.8,4.2511426
263,01/12/13,383310,ACT,101.8,3.672379
264,01/03/14,7492704,NSW,121.7,5.2563746
265,01/03/14,5817241,VIC,110.7,6.486031
266,01/03/14,4704807,QLD,108.5,6.0794738
267,01/03/14,1682307,SA,105.4,7.2912052
268,01/03/14,2549527,WA,114.8,4.9579076
269,01/03/14,514676,TAS,103.7,7.6266361
270,01/03/14,242900,NT,114.0,3.7027064
271,01/03/14,384934,ACT,102.3,3.6136096
272,01/06/14,7513975,NSW,126.0,5.8135514
273,01/06/14,5838748,VIC,112.1,6.635558
274,01/06/14,4720471,QLD,110.5,6.2701014
275,01/06/14,1685484,SA,105.6,6.881681
276,01/06/14,2558372,WA,114.8,5.075388
277,01/06/14,514770,TAS,104.1,7.232525
278,01/06/14,243663,NT,114.7,4.28795
279,01/06/14,385397,ACT,103.3,4.2020299
280,01/09/14,7542546,NSW,128.8,5.9365049
281,01/09/14,5865076,VIC,113.1,6.8189761
282,01/09/14,4738220,QLD,111.0,6.3410462
283,01/09/14,1688666,SA,106.1,6.7389605
284,01/09/14,2567004,WA,114.5,5.084462
285,01/09/14,515068,TAS,104.4,7.6778262
286,01/09/14,243953,NT,114.4,4.1320629
287,01/09/14,386548,ACT,103.5,4.8505433
288,01/12/14,7563738,NSW,133.4,5.9584004
289,01/12/14,5885688,VIC,115.2,6.3908255
290,01/12/14,4749636,QLD,112.3,6.2926848
291,01/12/14,1691591,SA,107.3,6.6836658
292,01/12/14,2574245,WA,114.5,5.7629364
293,01/12/14,515319,TAS,105.2,6.567723
294,01/12/14,243316,NT,113.7,3.8450821
295,01/12/14,387548,ACT,104.3,4.6419938
296,01/03/15,7593897,NSW,137.6,5.9355841
297,01/03/15,5914753,VIC,115.9,6.2301588
298,01/03/15,4765942,QLD,112.7,6.5800565
299,01/03/15,1696229,SA,108.0,6.3971734
300,01/03/15,2584875,WA,114.4,5.6587991
301,01/03/15,516134,TAS,105.7,6.5703958
302,01/03/15,243401,NT,113.5,4.2461175
303,01/03/15,389781,ACT,105.4,4.326284
304,01/06/15,7618241,NSW,149.8,5.8452677
305,01/06/15,5938119,VIC,120.8,6.0555383
306,01/06/15,4779400,QLD,113.7,5.994555
307,01/06/15,1698594,SA,108.5,7.9061597
308,01/06/15,2591585,WA,113.4,6.0031577
309,01/06/15,516630,TAS,105.7,6.4320853
310,01/06/15,244602,NT,112.6,4.4847514
311,01/06/15,390757,ACT,106.2,4.5409134
